user_id,gender,age,occupation_id,cp,occupation
1,F,1,10,48067,K-12 student
2,M,56,16,70072,self-employed
3,M,25,15,55117,scientist
4,M,45,7,02460,executive/managerial
5,M,25,20,55455,writer
6,F,50,9,55117,homemaker
7,M,35,1,06810,academic/educator
8,M,25,12,11413,programmer
9,M,25,17,61614,technician/engineer
10,F,35,1,95370,academic/educator
11,F,25,1,04093,academic/educator
12,M,25,12,32793,programmer
13,M,45,1,93304,academic/educator
14,M,35,0,60126,other or not specified
15,M,25,7,22903,executive/managerial
16,F,35,0,20670,other or not specified
17,M,50,1,95350,academic/educator
18,F,18,3,95825,clerical/admin
19,M,1,10,48073,K-12 student
20,M,25,14,55113,sales/marketing
21,M,18,16,99353,self-employed
22,M,18,15,53706,scientist
23,M,35,0,90049,other or not specified
24,F,25,7,10023,executive/managerial
25,M,18,4,01609,college/grad student
26,M,25,7,23112,executive/managerial
27,M,25,11,19130,lawyer
28,F,25,1,14607,academic/educator
29,M,35,7,33407,executive/managerial
30,F,35,7,19143,executive/managerial
31,M,56,7,06840,executive/managerial
32,F,25,0,19355,other or not specified
33,M,45,3,55421,clerical/admin
34,F,18,0,02135,other or not specified
35,M,45,1,02482,academic/educator
36,M,25,3,94123,clerical/admin
37,F,25,9,66212,homemaker
38,F,18,4,02215,college/grad student
39,M,18,4,61820,college/grad student
40,M,45,0,10543,other or not specified
41,F,18,4,15116,college/grad student
42,M,25,8,24502,farmer
43,M,25,12,60614,programmer
44,M,45,17,98052,technician/engineer
45,F,45,16,94110,self-employed
46,M,18,19,75602,unemployed
47,M,18,4,94305,college/grad student
48,M,25,4,92107,college/grad student
49,M,18,12,77084,programmer
50,F,25,2,98133,artist
51,F,1,10,10562,K-12 student
52,M,18,4,72212,college/grad student
53,M,25,0,96931,other or not specified
54,M,50,1,56723,academic/educator
55,F,35,12,55303,programmer
56,M,35,20,60440,writer
57,M,18,19,30350,unemployed
58,M,25,2,30303,artist
59,F,50,1,55413,academic/educator
60,M,50,1,72118,academic/educator
61,M,25,17,95122,technician/engineer
62,F,35,3,98105,clerical/admin
63,M,18,4,54902,college/grad student
64,M,18,1,53706,academic/educator
65,M,35,12,55803,programmer
66,M,25,18,57706,tradesman/craftsman
67,F,50,5,60181,customer service
68,M,18,4,53706,college/grad student
69,F,25,1,02143,academic/educator
70,M,18,4,53703,college/grad student
71,M,25,14,95008,sales/marketing
72,F,45,0,55122,other or not specified
73,M,18,4,53706,college/grad student
74,M,35,14,94530,sales/marketing
75,F,1,10,01748,K-12 student
76,M,35,7,55413,executive/managerial
77,M,18,4,15321,college/grad student
78,F,45,1,98029,academic/educator
79,F,45,0,98103,other or not specified
80,M,56,1,49327,academic/educator
81,F,25,0,60640,other or not specified
82,M,25,17,48380,technician/engineer
83,F,25,2,94609,artist
84,M,18,4,53140,college/grad student
85,M,18,4,94945,college/grad student
86,F,1,10,54467,K-12 student
87,M,25,14,48360,sales/marketing
88,F,45,1,02476,academic/educator
89,F,56,9,85749,homemaker
90,M,56,13,85749,retired
91,M,35,7,07650,executive/managerial
92,F,18,4,44243,college/grad student
93,M,25,17,95825,technician/engineer
94,M,25,17,28601,technician/engineer
95,M,45,0,98201,other or not specified
96,F,25,16,78028,self-employed
97,F,35,3,66210,clerical/admin
98,F,35,7,33547,executive/managerial
99,F,1,10,19390,K-12 student
100,M,35,17,95401,technician/engineer
101,F,18,3,33314,clerical/admin
102,M,35,19,20871,unemployed
103,M,45,7,92104,executive/managerial
104,M,25,12,00926,programmer
105,M,45,12,90277,programmer
106,F,35,11,79101,lawyer
107,M,45,18,63129,tradesman/craftsman
108,M,25,12,30316,programmer
109,M,45,15,92028,scientist
110,M,25,2,90803,artist
111,M,35,15,55416,scientist
112,M,25,16,97209,self-employed
113,M,18,12,37032,programmer
114,F,25,2,83712,artist
115,M,25,17,28083,technician/engineer
116,M,25,17,55744,technician/engineer
117,M,25,17,33314,technician/engineer
118,M,35,17,22315,technician/engineer
119,F,1,10,77515,K-12 student
120,M,25,11,27106,lawyer
121,M,35,7,75229,executive/managerial
122,F,18,4,94305,college/grad student
123,M,35,9,67208,homemaker
124,M,56,7,91356,executive/managerial
125,M,45,14,01701,sales/marketing
126,M,18,9,98117,homemaker
127,F,45,3,01770,clerical/admin
128,M,56,6,37922,doctor/health care
129,M,25,11,20164,lawyer
130,M,35,17,50021,technician/engineer
131,M,18,4,06520,college/grad student
132,M,25,17,99709,technician/engineer
133,F,25,0,55071,other or not specified
134,M,25,0,66212,other or not specified
135,M,18,4,20006,college/grad student
136,M,18,2,21202,artist
137,F,45,6,78758,doctor/health care
138,M,18,20,22203,writer
139,F,25,20,45409,writer
140,F,35,1,55107,academic/educator
141,M,35,13,62035,retired
142,M,25,7,10011,executive/managerial
143,M,18,3,64043,clerical/admin
144,M,25,17,29401,technician/engineer
145,M,18,4,19081,college/grad student
146,F,35,20,10954,writer
147,M,18,4,91360,college/grad student
148,M,50,17,57747,technician/engineer
149,M,25,1,29205,academic/educator
150,M,35,7,98144,executive/managerial
151,F,25,20,85013,writer
152,M,18,4,48104,college/grad student
153,M,1,10,51537,K-12 student
154,M,50,20,94530,writer
155,M,35,12,07470,programmer
156,F,45,7,14519,executive/managerial
157,M,35,16,12866,self-employed
158,M,56,7,28754,executive/managerial
159,F,45,0,37922,other or not specified
160,M,35,7,13021,executive/managerial
161,M,45,16,98107-2117,self-employed
162,F,18,4,93117,college/grad student
163,M,18,4,85013,college/grad student
164,F,56,13,94566,retired
165,M,18,16,98502,self-employed
166,M,18,4,92802,college/grad student
167,F,25,11,10022,lawyer
168,F,50,0,46970,other or not specified
169,M,25,7,55439,executive/managerial
170,M,25,11,07002,lawyer
171,F,50,17,55441,technician/engineer
172,M,25,3,07661,clerical/admin
173,M,25,0,45237,other or not specified
174,M,25,16,21203,self-employed
175,F,25,2,95123,artist
176,F,18,3,55016,clerical/admin
177,M,50,1,54016,academic/educator
178,M,56,17,53705,technician/engineer
179,M,25,0,02135,other or not specified
180,M,45,12,01603,programmer
181,M,18,17,33186,technician/engineer
182,M,18,4,03052,college/grad student
183,F,45,1,55407,academic/educator
184,F,25,0,19001,other or not specified
185,M,45,0,14468,other or not specified
186,M,18,5,91767,customer service
187,F,45,1,94061,academic/educator
188,M,56,16,79930,self-employed
189,M,18,0,60076,other or not specified
190,M,25,17,55125,technician/engineer
191,M,18,4,04915,college/grad student
192,M,18,1,10977,academic/educator
193,F,45,15,44106,scientist
194,F,1,10,29146,K-12 student
195,M,25,12,10458,programmer
196,F,35,9,94587,homemaker
197,M,18,14,10023,sales/marketing
198,M,25,12,55108,programmer
199,M,18,4,83706,college/grad student
200,F,18,4,84321,college/grad student
201,F,35,2,55117,artist
202,M,18,4,53706,college/grad student
203,F,18,4,53715,college/grad student
204,M,25,7,92123,executive/managerial
205,M,35,12,97333,programmer
206,M,25,17,20194,technician/engineer
207,M,25,12,94115,programmer
208,M,35,17,55432,technician/engineer
209,M,35,1,90048,academic/educator
210,F,1,10,25801,K-12 student
211,M,45,17,90620,technician/engineer
212,M,25,16,53714,self-employed
213,F,18,4,01609,college/grad student
214,M,18,20,80218,writer
215,M,35,14,92075,sales/marketing
216,M,45,13,52761,retired
217,M,18,4,22903,college/grad student
218,M,35,14,95822,sales/marketing
219,F,25,4,55113,college/grad student
